Match ID,Competition Name,Match Date,Home Team,Score Home,Score Away,Away Team
300430489,Friendlies,2018-03-23T18:45:00Z,Scotland,0,1,Costa Rica
300431278,Friendlies,2018-03-27T20:00:00Z,Tunisia,1,0,Costa Rica
300332123,FIFA World Cup 2018 Qualifiers - Europe,2017-03-24T19:45:00Z,Croatia,1,0,Ukraine
300332114,FIFA World Cup 2018 Qualifiers - Europe,2017-06-11T18:45:00Z,Iceland,1,0,Croatia
300361569,FIFA World Cup 2018 Qualifiers - Europe,2017-09-03T13:30:00Z,Croatia,1,0,Kosovo
300332110,FIFA World Cup 2018 Qualifiers - Europe,2017-09-05T18:45:00Z,Turkey,1,0,Croatia
300332117,FIFA World Cup 2018 Qualifiers - Europe,2017-10-06T18:45:00Z,Croatia,1,1,Finland
300332111,FIFA World Cup 2018 Qualifiers - Europe,2017-10-09T18:45:00Z,Ukraine,0,2,Croatia
300417852,FIFA World Cup 2018 Qualifiers - Europe,2017-11-09T19:45:00Z,Croatia,4,1,Greece
300417851,FIFA World Cup 2018 Qualifiers - Europe,2017-11-12T19:45:00Z,Greece,0,0,Croatia
300380837,Friendlies,2017-01-11T11:35:00Z,Chile,1,1,Croatia
300384361,Friendlies,2017-01-14T07:35:00Z,China PR,1,1,Croatia
300385709,Friendlies,2017-03-28T16:00:00Z,Estonia,3,0,Croatia
300392002,Friendlies,2017-05-27T16:30:00Z,Mexico,1,2,Croatia
300433367,Friendlies,2018-03-23T20:00:00Z,Peru,2,0,Croatia
300433394,Friendlies,2018-03-28T01:30:00Z,Mexico,0,1,Croatia
300398056,Friendlies,2017-06-06T20:45:00Z,Denmark,1,1,Germany
300332041,FIFA World Cup 2018 Qualifiers - Europe,2017-03-26T18:45:00Z,Romania,0,0,Denmark
300332015,FIFA World Cup 2018 Qualifiers - Europe,2017-06-10T16:00:00Z,Kazakhstan,1,3,Denmark
300332016,FIFA World Cup 2018 Qualifiers - Europe,2017-09-01T19:45:00Z,Denmark,4,0,Poland
300332042,FIFA World Cup 2018 Qualifiers - Europe,2017-09-04T16:00:00Z,Armenia,1,4,Denmark
300332037,FIFA World Cup 2018 Qualifiers - Europe,2017-10-05T18:45:00Z,Montenegro,0,1,Denmark
300332027,FIFA World Cup 2018 Qualifiers - Europe,2017-10-08T17:00:00Z,Denmark,1,1,Romania
300417853,FIFA World Cup 2018 Qualifiers - Europe,2017-11-11T19:45:00Z,Denmark,0,0,Republic of Ireland
300417849,FIFA World Cup 2018 Qualifiers - Europe,2017-11-14T18:45:00Z,Republic of Ireland,1,5,Denmark
300433362,Friendlies,2018-03-22T20:00:00Z,Denmark,1,0,Panama
300433390,Friendlies,2018-03-27T20:00:00Z,Denmark,0,0,Chile
300379275,Friendlies,2017-01-08T17:00:00Z,Egypt,1,0,Tunisia
300392701,Friendlies,2017-03-28T16:00:00Z,Egypt,3,0,Togo
300388301,Friendlies,2017-08-13T19:00:00Z,Egypt,1,1,Morocco
300411260,Friendlies,2017-08-18T20:00:00Z,Morocco,3,1,Egypt
300367138,FIFA World Cup 2018 Qualifiers - Africa,2017-08-31T13:00:00Z,Uganda,1,0,Egypt
300367147,FIFA World Cup 2018 Qualifiers - Africa,2017-09-05T18:00:00Z,Egypt,1,0,Uganda
300367148,FIFA World Cup 2018 Qualifiers - Africa,2017-10-08T17:00:00Z,Egypt,2,1,Congo
300367137,FIFA World Cup 2018 Qualifiers - Africa,2017-11-12T15:30:00Z,Ghana,1,1,Egypt
300377383,Africa Cup of Nations 2017,2017-01-17T19:00:00Z,Mali,0,0,Egypt
300377384,Africa Cup of Nations 2017,2017-01-21T19:00:00Z,Egypt,1,0,Uganda
300377382,Africa Cup of Nations 2017,2017-01-25T19:00:00Z,Egypt,1,0,Ghana
300386873,Africa Cup of Nations 2017,2017-01-29T19:00:00Z,Egypt,1,0,Morocco
300387085,Africa Cup of Nations 2017,2017-02-01T19:00:00Z,Burkina Faso,1,1,Egypt
300387794,Africa Cup of Nations 2017,2017-02-05T19:00:00Z,Egypt,1,2,Cameroon
300433373,Friendlies,2018-03-23T19:45:00Z,Portugal,2,1,Egypt
300433392,Friendlies,2018-03-27T20:00:00Z,Greece,1,0,Egypt
300377322,Friendlies,2017-03-22T20:45:00Z,Germany,1,0,England
300377317,Friendlies,2017-06-13T19:00:00Z,France,3,2,England
300418734,Friendlies,2017-11-10T19:00:00Z,England,0,0,Germany
300332026,FIFA World Cup 2018 Qualifiers - Europe,2017-03-26T16:00:00Z,England,2,0,Lithuania
300332044,FIFA World Cup 2018 Qualifiers - Europe,2017-06-10T16:00:00Z,Scotland,2,2,England
300332051,FIFA World Cup 2018 Qualifiers - Europe,2017-09-01T18:45:00Z,Malta,0,4,England
300332050,FIFA World Cup 2018 Qualifiers - Europe,2017-09-04T18:45:00Z,England,2,1,Slovakia
300332047,FIFA World Cup 2018 Qualifiers - Europe,2017-10-05T18:45:00Z,England,1,0,Slovenia
300332021,FIFA World Cup 2018 Qualifiers - Europe,2017-10-08T16:00:00Z,Lithuania,0,1,England
300431274,Friendlies,2018-03-23T18:45:00Z,Netherlands,0,1,England
300434751,Friendlies,2018-03-27T19:00:00Z,England,1,1,Italy
300380774,Friendlies,2017-03-28T19:00:00Z,France,0,2,Spain
300398789,Friendlies,2017-06-02T21:00:00Z,France,5,0,Paraguay
300418472,Friendlies,2017-11-10T18:00:00Z,France,2,0,Wales
300418921,Friendlies,2017-11-14T20:45:00Z,Germany,2,2,France
300331890,FIFA World Cup 2018 Qualifiers - Europe,2017-03-25T18:45:00Z,Luxembourg,1,3,France
300331898,FIFA World Cup 2018 Qualifiers - Europe,2017-06-09T19:45:00Z,Sweden,2,1,France
300331903,FIFA World Cup 2018 Qualifiers - Europe,2017-08-31T18:45:00Z,France,4,0,Netherlands
300331888,FIFA World Cup 2018 Qualifiers - Europe,2017-09-03T18:45:00Z,France,0,0,Luxembourg
300331882,FIFA World Cup 2018 Qualifiers - Europe,2017-10-07T18:45:00Z,Bulgaria,0,1,France
300331904,FIFA World Cup 2018 Qualifiers - Europe,2017-10-10T18:45:00Z,France,2,1,Belarus
300433388,Friendlies,2018-03-27T18:50:00Z,Russia,1,3,France
300439240,Friendlies,2018-05-28T19:00:00Z,France,2,0,Republic of Ireland
300334884,FIFA Confederations Cup Russia 2017,2017-06-22T18:00:00Z,Germany,1,1,Chile
300334889,FIFA Confederations Cup Russia 2017,2017-06-25T15:00:00Z,Germany,3,1,Cameroon
